dataset_size,overlap,alice_hash,alice_blind,alice_double_blind,alice_send,alice_recv,alice_intersection,alice_total,bob_hash,bob_blind,bob_double_blind,bob_send,bob_recv,bob_intersection,bob_total
100,25,1.204144,6.933155,3.596127,3.704456,21.384083,0.023988,81.307825,3.494668,13.982612,11.779095,0.776501,0.016586,48.816100,79.094498
100,25,1.114743,3.082442,3.955702,0.464668,33.876889,0.021947,85.622772,7.988734,12.239755,12.071727,3.341062,0.014377,47.237347,83.027492
100,25,2.935370,3.804379,3.809605,0.553789,12.614155,0.022049,71.493531,1.774788,5.605538,9.077030,2.471755,0.014509,47.154833,68.895694
100,25,9.138642,10.210484,3.426008,0.347738,27.223710,0.023550,95.352686,4.842490,19.561136,16.673078,2.671053,1.773328,46.963491,92.859027
100,25,1.479144,5.163880,3.223046,0.367206,36.535359,0.023469,50.191982,4.851916,18.860985,14.781334,2.664671,0.027321,5.514942,47.064995
100,25,1.419533,3.619593,3.730515,0.373773,28.397238,0.023623,81.848954,3.649474,13.781439,13.312293,1.898841,0.018455,46.742590,79.801945
100,25,1.400233,3.464905,3.093823,0.296833,27.046194,0.022658,81.804304,3.780437,17.202647,5.645895,3.420584,0.018394,46.004769,77.139906
100,25,1.449882,8.518061,4.056307,0.500032,15.306356,0.023802,75.388546,3.363302,16.277744,3.093815,8.226953,0.015197,41.688462,73.149555
100,25,1.937127,4.114029,3.449669,0.403324,22.855405,0.022565,77.276884,5.127766,8.489981,12.029979,3.157369,0.020547,46.238633,75.658540
100,25,1.348537,4.060095,2.916620,0.392707,41.888992,0.022128,55.024300,4.282481,19.520741,17.555961,2.954354,0.028485,8.180088,52.947159
100,50,1.371302,3.560028,3.009442,0.318969,12.957347,0.023440,26.806889,2.601991,9.992478,3.217053,0.679591,0.018636,6.612678,24.160560
100,50,1.414139,3.828119,2.967373,0.434934,39.922245,0.023068,55.276174,4.803350,23.032680,14.463584,2.442504,0.026194,7.208863,52.878403
100,50,1.106343,3.132221,3.115821,0.337032,38.565810,0.022511,51.573601,3.853693,16.407076,18.594583,2.596967,0.020003,6.662690,49.425416
100,50,1.176222,3.361521,3.699273,0.343153,28.740129,0.023248,40.395890,3.503483,15.183268,11.150587,3.179781,0.023056,5.076204,38.704787
100,50,2.405080,3.893759,3.281099,0.439092,35.857294,0.023225,49.485827,6.317714,16.764048,14.417097,3.276133,0.558894,4.419802,47.044843
100,50,1.272894,3.507626,3.299711,0.185944,43.709929,0.022591,55.330655,5.766837,16.628324,15.600641,2.853942,0.017332,7.115726,48.864284
100,50,1.129865,5.088586,4.289998,0.767837,37.884321,0.023837,52.702400,3.738247,19.235103,18.354013,2.501913,0.028078,6.385393,51.258151
100,50,1.120369,2.832366,2.875791,0.177484,39.920013,0.023493,50.886895,4.287423,17.125253,19.261999,2.593090,0.021716,4.580567,48.876678
100,50,1.137534,2.860686,2.907277,0.723454,41.017030,0.023310,53.889186,3.486103,19.681007,19.612116,2.327915,0.023696,4.904654,51.514951
100,50,1.193197,4.152233,2.969100,0.172713,43.799854,0.024352,59.433026,3.559637,22.060403,17.374578,2.286302,0.023110,8.321403,56.512606
100,50,1.229226,3.097709,3.479988,0.654844,41.301535,0.023139,56.028525,4.196741,22.484466,16.076614,2.451369,0.022840,5.031498,52.623676
100,50,1.689209,4.260493,3.514664,0.136785,34.026392,0.023197,47.153712,3.501054,14.110029,18.758957,2.978349,0.020794,5.639211,45.569552
100,50,1.134201,5.122187,3.161818,0.202780,33.218779,0.023003,48.489308,6.385241,13.828817,16.117074,3.322481,0.021252,4.309289,46.556557
100,50,1.679644,3.557091,3.040453,0.238142,41.915701,0.023712,57.973490,4.614692,16.788978,19.344277,2.816112,0.023630,5.840013,53.206371
100,50,6.726077,3.671834,3.652757,0.440479,39.925501,0.024000,58.220375,3.924194,20.649559,21.438294,2.615021,0.024487,5.000219,54.711237
100,50,1.154919,3.163839,4.133766,0.285815,36.278450,0.024854,48.301426,4.029872,18.219259,15.027103,3.217377,0.019142,5.171992,46.168026
100,50,1.118396,3.054423,2.873487,0.724102,24.115928,0.023694,34.946622,5.183266,12.599407,8.603201,1.590945,0.009669,5.141499,33.208689
100,50,1.120073,3.035277,3.262798,0.638378,32.139000,0.023180,42.768282,4.586630,13.222270,13.675610,2.708072,0.013119,4.503399,38.795974
100,50,1.190012,3.280993,3.501175,0.209842,32.871242,0.022362,44.364562,4.823385,16.906474,11.509430,2.975186,0.018909,5.036134,41.985637
